S. No (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during Investigation (Col.10),Final Report - Cases Ended as FR Non Cognizable (Col.11),Final Report - Cases Ended as Final Report False (Col.12),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report - Cases Abated during Investigation (Col.15),Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percentage (Col.25=Col.23/ Col.7) *100
1,Offences under I.T. Act,Tampering computer source documents,163,257,0,420,0,0,0,0,4,17,126,0,147,52,70,122,269,1,0,150,45.4,35.7
2,Offences under I.T. Act,Computer Related Offences,9696,14141,1,23838,0,34,0,3,174,413,4385,46,5021,1201,1529,2730,7785,5,3,16048,35.1,67.3
2.1,Offences under I.T. Act,Computer Related Offences,3234,3969,0,7203,0,4,0,1,73,160,1642,6,1882,661,696,1357,3243,4,0,3956,41.8,54.9
2.1.1,Offences under I.T. Act,Ransomware,255,1218,0,1473,0,0,0,0,27,5,270,0,302,89,100,189,491,0,0,982,38.5,66.7
2.1.2,Offences under I.T. Act,Offences other than Ransom-ware,2979,2751,0,5730,0,4,0,1,46,155,1372,6,1580,572,596,1168,2752,4,0,2974,42.4,51.9
2.2,Offences under I.T. Act,Dishonestly receiving stolen computer resource or communication device,272,391,0,663,0,3,0,0,6,9,171,0,186,37,57,94,283,0,0,380,33.2,57.3
2.3,Offences under I.T. Act,Identity Theft,3435,6688,1,10124,0,4,0,0,34,105,867,4,1010,188,273,461,1475,0,1,8649,31.3,85.4
2.4,Offences under I.T. Act,Cheating by personation by using computer resource,2482,2704,0,5186,0,20,0,2,47,131,1589,36,1805,262,434,696,2521,1,1,2664,27.6,51.4
2.5,Offences under I.T. Act,Violation of Privacy,273,389,0,662,0,3,0,0,14,8,116,0,138,53,69,122,263,0,1,399,46.4,60.3
3,Offences under I.T. Act,Cyber Terrorism,19,21,0,40,0,0,0,0,0,0,10,0,10,3,2,5,15,0,0,25,33.3,62.5
4,Offences under I.T. Act,Publication/transmission of obscene / sexually explicit act in electronic form,1713,3076,2,4791,0,4,0,2,106,94,761,2,965,278,879,1157,2126,3,0,2662,54.4,55.6
4.1,Offences under I.T. Act,Publishing or transmitting obscene material in Electronic Form,751,1334,0,2085,0,2,0,1,43,31,388,0,463,164,352,516,981,1,0,1103,52.6,52.9
4.2,Offences under I.T. Act,Publishing or transmitting of material containing Sexually explicit act in electronic form,563,1097,2,1662,0,2,0,1,33,38,163,1,236,76,364,440,678,2,0,982,64.9,59.1
4.3,Offences under I.T. Act,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,67,82,0,149,0,0,0,0,0,9,27,0,36,3,35,38,74,0,0,75,51.4,50.3
4.4,Offences under I.T. Act,Preservation and retention of information by intermediaries,27,27,0,54,0,0,0,0,2,1,13,0,16,2,6,8,24,0,0,30,33.3,55.6
4.5,Offences under I.T. Act,Other Sections 67 IT Act,305,536,0,841,0,0,0,0,28,15,170,1,214,33,122,155,369,0,0,472,42,56.1
5,Offences under I.T. Act,Interception or Monitoring or decryption of Information,3,6,0,9,0,0,0,0,0,0,3,0,3,0,1,1,4,0,0,5,25,55.6
6,Offences under I.T. Act,Un-authorized access/attempt to access to protected computer system,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,100
7,Offences under I.T. Act,Abetment to Commit Offences,2,1,0,3,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,1,50,33.3
8,Offences under I.T. Act,Attempt to Commit Offences,4,13,0,17,0,0,0,0,1,1,1,0,3,0,8,8,11,0,0,6,72.7,35.3
9,Offences under I.T. Act,Other Sections of IT Act,1164,980,0,2144,0,4,0,2,43,98,442,0,585,184,206,390,979,1,0,1164,39.8,54.3
10,Offences under I.T. Act,Total Offences under I.T. Act,12770,18495,3,31268,0,42,0,7,328,623,5729,48,6735,1719,2695,4414,11191,10,3,20067,39.4,64.2
11,Offences under IPC,Abetment of Suicide (Online),0,7,1,8,0,0,0,0,0,1,0,0,1,0,5,5,6,0,0,2,83.3,25
12,Offences under IPC,Cyber Stalking/Bullying of Women/Children,331,739,4,1074,0,1,0,0,11,15,81,0,107,89,301,390,498,1,0,575,78.3,53.5
13,Offences under IPC,Data theft,332,106,0,438,0,0,0,0,1,15,116,0,132,22,14,36,168,0,0,270,21.4,61.6
14,Offences under IPC,Fraud,3528,3353,4,6885,0,1,0,1,9,165,1349,0,1524,310,534,844,2369,3,1,4513,35.6,65.5
14.1,Offences under IPC,Credit Card/Debit Card,455,309,1,765,0,0,0,0,0,14,164,0,178,37,47,84,262,0,0,503,32.1,65.8
14.2,Offences under IPC,ATMs,1574,1284,0,2858,0,0,0,0,2,70,510,0,582,166,258,424,1006,0,0,1852,42.1,64.8
14.3,Offences under IPC,Online Banking Fraud,744,968,1,1713,0,0,0,0,1,47,353,0,401,57,117,174,575,2,1,1136,30.3,66.3
14.4,Offences under IPC,OTP Frauds,266,319,1,586,0,1,0,0,3,4,168,0,175,8,26,34,210,0,0,376,16.2,64.2
14.5,Offences under IPC,Others,489,473,1,963,0,0,0,1,3,30,154,0,188,42,86,128,316,1,0,646,40.5,67.1
15,Offences under IPC,Cheating,3814,2051,0,5865,0,5,0,2,8,125,921,1,1057,234,237,471,1533,0,5,4332,30.7,73.9
16,Offences under IPC,Forgery,209,260,1,470,0,0,0,0,2,11,32,0,45,17,24,41,86,0,0,384,47.7,81.7
17,Offences under IPC,Defamation/Morphing,9,18,1,28,0,0,0,0,2,0,2,0,4,1,4,5,9,0,0,19,55.6,67.9
18,Offences under IPC,Fake Profile,99,78,1,178,0,0,0,0,0,1,42,0,43,17,32,49,92,0,0,86,53.3,48.3
19,Offences under IPC,Counterfeiting,11,2,2,15,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,14,100,93.3
19.1,Offences under IPC,Currency,11,2,1,14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,13,100,92.9
19.2,Offences under IPC,Stamps,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
20,Offences under IPC,Cyber Blackmailing/Threatening,226,223,0,449,0,0,0,0,4,1,31,0,36,28,74,102,138,1,1,310,73.9,69
21,Offences under IPC,Fake News on Social Media,106,97,1,204,0,0,0,0,0,4,6,1,11,3,31,34,45,0,0,159,75.6,77.9
22,Offences under IPC,Other Offences,997,1713,1,2711,0,3,0,4,28,61,278,3,374,210,578,788,1165,5,2,1541,67.6,56.8
23,Offences under IPC,Total Offences under IPC,9662,8647,16,18325,0,10,0,7,65,399,2858,5,3334,931,1835,2766,6110,10,9,12205,45.3,66.6
24,Offences under SLL,Gambling Act (Online Gambling),20,20,1,41,0,0,0,0,0,0,0,0,0,2,17,19,19,0,0,22,100,53.7
25,Offences under SLL,Lotteries Act (Online Lotteries),11,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,100
26,Offences under SLL,Copy Right Act,103,62,0,165,0,0,0,0,4,0,12,0,16,3,23,26,42,0,0,123,61.9,74.5
27,Offences under SLL,Trade Marks Act,12,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,100
28,Offences under SLL,Other SLL Crimes,32,22,0,54,0,0,0,0,0,2,5,0,7,0,9,9,16,0,0,38,56.3,70.4
29,Offences under SLL,Total Offences under SLL,178,106,3,287,0,0,0,0,4,2,17,0,23,5,49,54,77,0,0,210,70.1,73.2
Total,Total Cyber Crimes,Total Cyber Crimes,22610,27248,22,49880,0,52,0,14,397,1024,8604,53,10092,2655,4579,7234,17378,20,12,32482,41.6,65.1
