S. No,Crime Head,Cases Pending Investi-gation from Previous Year,Cases Reported during the year,Cases Reopened for Investi-gation,Total Cases for Investi-gation (Col.3+ Col.4+ Col.5),Cases Not Investi-gated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investi-gation,Final Report -  Cases Ended as FR Non Cognizable,Final Report -  Cases Ended as Final Report False,Final Report -  Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report -  Cases True but Insufficient Evidence or Untraced or No Clue,Final Report -  Cases Abated during Investigation,Final Report -  Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted -  Cases Chargesheeted Out of Cases from Previous Year,Chargesheets submitted -  Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted -  Cases Chargesheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),Charge-Sheeting Rate (Col.18/ Col.19) *100,Pen- dency Percent age (Col.22/ Col.6) *100
1,Tampering computer source documents,165,173,0,338,0,0,0,0,3,6,90,0,99,12,30,42,141,1,1,196,29.8,58
2,Computer Related Offences,15708,23612,4,39324,0,110,0,16,280,397,5700,52,6445,1753,1949,3702,10257,22,3,29045,36.1,73.9
2.1,Computer Related Offences,3727,4467,0,8194,0,2,0,16,63,124,2477,0,2680,894,714,1608,4290,4,1,3900,37.5,47.6
2.1.1,Ransom-ware,995,1023,0,2018,0,0,0,12,25,5,871,0,913,264,141,405,1318,1,0,699,30.7,34.6
2.1.2,Offences other than Ransom-ware,2732,3444,0,6176,0,2,0,4,38,119,1606,0,1767,630,573,1203,2972,3,1,3201,40.5,51.8
2.2,Dishonestly receiving stolen computer resource or communication device,396,558,0,954,0,1,0,0,16,40,208,0,264,65,106,171,436,3,0,515,39.2,54
2.3,Identity Theft,8634,12255,0,20889,0,91,0,0,138,117,1633,3,1891,246,317,563,2545,5,0,18339,22.1,87.8
2.4,Cheating by personation by using computer resource,2572,5520,3,8095,0,15,0,0,53,105,1229,49,1436,398,743,1141,2592,8,1,5495,44,67.9
2.5,Violation of Privacy,379,812,1,1192,0,1,0,0,10,11,153,0,174,150,69,219,394,2,1,796,55.6,66.8
3,Cyber Terrorism,23,12,0,35,0,0,0,0,2,1,3,0,6,0,3,3,9,0,0,26,33.3,74.3
4,Publication/transmission of obscene / sexually explicit act in electronic form,2632,4187,2,6821,0,6,0,1,232,149,722,5,1109,458,1136,1594,2709,7,0,4105,58.8,60.2
4.1,Publishing or transmitting obscene material in Electronic Form,1065,1845,0,2910,0,5,0,0,42,68,388,0,498,238,504,742,1245,3,0,1662,59.6,57.1
4.2,Publishing or transmitting of material containing Sexually explicit act in electronic form,982,1394,2,2378,0,1,0,0,29,35,213,4,281,157,403,560,842,4,0,1532,66.5,64.4
