Sl. No. Col. (1),Crime Head Col. (2),Cases Pending Investigation from Previous Year - Col. (3),Cases Reported during the year - Col. (4),Cases Reopened for Investigation - Col. (5),Total Cases for Investigation (Col.3+ Col.4+Col.5) - Col. (6),Cases Not Investigated Under 157_1_b CRPC - Col. (7),Cases Transferred to Other State or Agency - Col. (8),Cases Withdrawn by the Govt during Investigation - Col. (9),Final Report - Cases Ended as FR Non Cognizable - Col. (10),Final Report - Cases Ended as Final Report False - Col. (11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13),Final Report - Cases Abated during Investigation - Col. (14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18),Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19),Cases Quashed at Investigation Stage - Col. (20),Cases Stayed at Investigation Stage - Col. (21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22),Chargesheeting Rate (Col.18/19*100) - Col. (23),Pendency Percentage (Col.22/6*100) - Col. (24)
1,Tampering computer source documents,362,55,1,418,0,0,0,0,3,1,52,0,56,37,14,51,107,0,0,311,47.7,74.4
2,Computer Related Offences,38032,19915,20,57967,0,72,9,5,253,523,18769,110,19660,6605,3651,10256,29988,6,8,27964,34.2,48.2
2.1,Computer Related Offences,4460,3755,11,8226,0,21,0,0,59,62,2468,0,2589,773,780,1553,4163,3,2,4060,37.3,49.4
2.1.1,Ransom-ware,623,648,4,1275,0,21,0,0,0,14,613,0,627,88,164,252,900,1,0,374,28,29.3
2.1.2,Offences other than Ransom-ware,3837,3107,7,6951,0,0,0,0,59,48,1855,0,1962,685,616,1301,3263,2,2,3686,39.9,53
2.2,Dishonestly receiving stolen computer resource or communication device,535,295,0,830,0,0,0,0,7,14,200,0,221,49,52,101,322,2,0,506,31.4,61
2.3,Identity Theft,20427,4071,3,24501,0,27,4,3,58,173,8384,5,8623,3455,643,4098,12748,0,4,11749,32.1,48
2.4,Cheating by personation by using computer resource,11785,11422,5,23212,0,22,5,2,123,259,7546,104,8034,2154,2102,4256,12312,1,2,10894,34.6,46.9
2.5,Violation of Privacy,825,372,1,1198,0,2,0,0,6,15,171,1,193,174,74,248,443,0,0,755,56,63
3,Cyber Terrorism,41,15,0,56,0,0,0,0,0,1,6,0,7,4,2,6,13,0,0,43,46.2,76.8
4,Publication/transmission of obscene / sexually explicit act in electronic form,6364,6598,7,12969,0,22,1,6,209,546,1907,10,2678,936,1875,2811,5511,4,2,7453,51,57.5
4.1,Publishing or transmitting obscene material in Electronic Form,2704,2659,2,5365,0,9,1,4,42,227,832,0,1105,514,673,1187,2301,3,0,3060,51.6,57
4.2,Publishing or transmitting of material containing Sexually explicit act in electronic form,1918,1686,3,3607,0,7,0,2,86,223,595,2,908,213,573,786,1701,1,0,1905,46.2,52.8
4.3,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,446,969,2,1417,0,3,0,0,13,16,108,7,144,112,338,450,597,0,1,820,75.4,57.9
4.4,Preservation and retention of information by intermediaries,52,53,0,105,0,0,0,0,1,4,21,0,26,5,17,22,48,0,0,57,45.8,54.3
4.5,Other Sections 67 IT Act,1244,1231,0,2475,0,3,0,0,67,76,351,1,495,92,274,366,864,0,1,1611,42.4,65.1
5,Interception or Monitoring or decryption of Information,8,2,0,10,0,0,0,1,0,0,1,0,2,0,1,1,3,0,0,7,33.3,70
6,Un-authorized access/attempt to access to protected computer system,2,3,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,80
7,Abetment to Commit Offences,1,7,0,8,0,0,0,0,0,0,1,0,1,0,4,4,5,0,0,3,80,37.5
8,Attempt to Commit Offences,13,5,0,18,0,0,0,0,0,0,1,0,1,0,3,3,4,0,0,14,75,77.8
9,Other Sections of IT Act,1603,827,3,2433,0,0,0,0,68,97,491,1,657,203,183,386,1043,0,0,1390,37,57.1
Total Offences under I.T. Act,Total Offences under I.T. Act,46426,27427,31,73884,0,94,10,12,533,1168,21229,121,23063,7785,5733,13518,36675,10,10,37189,36.9,50.3
10,Abetment of Suicide (Online),7,10,1,18,0,0,0,0,0,0,0,0,0,3,7,10,10,0,0,8,100,44.4
11,Cyber Stalking/Bullying of Women/Children,1061,1176,9,2246,0,17,0,0,23,19,87,1,130,277,425,702,849,1,1,1396,82.7,62.2
12,Data theft,243,170,0,413,0,0,0,0,1,6,151,0,158,8,25,33,191,0,0,222,17.3,53.8
13,Fraud,13279,14007,35,27321,0,28,0,0,161,1159,6339,5,7664,755,1060,1815,9507,2,0,17812,19.1,65.2
13.1,Credit Card/Debit Card,1274,1624,1,2899,0,0,0,0,35,140,709,0,884,85,175,260,1144,1,0,1754,22.7,60.5
13.2,ATMs,3524,1899,5,5428,0,4,0,0,28,391,897,1,1317,236,296,532,1853,0,0,3575,28.7,65.9
13.3,Online Banking Fraud,4970,4823,25,9818,0,23,0,0,31,496,1985,2,2514,179,226,405,2942,0,0,6876,13.8,70
13.4,OTP Frauds,1217,2028,3,3248,0,0,0,0,19,11,933,2,965,65,138,203,1168,0,0,2080,17.4,64
13.5,Others,2294,3633,1,5928,0,1,0,0,48,121,1815,0,1984,190,225,415,2400,1,0,3527,17.3,59.5
14,Cheating,7663,6343,16,14022,0,3,0,2,76,421,2962,1,3462,354,488,842,4307,7,3,9708,19.5,69.2
15,Forgery,741,198,0,939,0,0,0,0,3,17,359,2,381,41,61,102,483,0,0,456,21.1,48.6
16,Defamation/Morphing,76,31,1,108,0,4,0,0,2,2,29,0,33,5,6,11,48,0,0,60,22.9,55.6
17,Fake Profile,186,123,0,309,0,0,0,0,1,5,61,0,67,18,21,39,106,0,0,203,36.8,65.7
18,Counterfeiting,20,2,1,23,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,22,100,95.7
18.1,Currency,20,2,1,23,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,22,100,95.7
18.2,Stamps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
19,Cyber Blackmailing/Threatening,565,689,11,1265,0,1,0,0,17,327,104,1,449,58,180,238,688,0,0,577,34.6,45.6
20,Fake News on Social Media,591,179,0,770,0,3,0,0,5,5,111,0,121,88,60,148,272,1,0,497,54.4,64.5
21,Other Offences,3049,2456,22,5527,0,18,0,3,67,122,720,5,917,418,780,1198,2133,4,2,3390,56.2,61.3
Total Offences under IPC,Total Offences under IPC,27481,25384,96,52961,0,74,0,5,356,2083,10923,15,13382,2026,3113,5139,18595,15,6,34351,27.6,64.9
22,Gambling Act (Online Gambling),48,27,0,75,0,0,0,0,0,0,7,0,7,11,15,26,33,0,0,42,78.8,56
23,Lotteries Act (Online Lotteries),35,4,0,39,0,0,0,0,0,0,4,0,4,5,0,5,9,0,0,30,55.6,76.9
24,Copy Right Act,147,32,0,179,0,1,0,0,6,2,20,0,28,7,21,28,57,0,0,122,49.1,68.2
25,Trade Marks Act,13,1,0,14,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,13,0,92.9
26,Other SLL Crimes,79,99,0,178,0,9,0,0,0,1,19,0,20,4,24,28,57,0,0,121,49.1,68
Total Offences under SLL,Total Offences under SLL,322,163,0,485,0,10,0,0,6,3,51,0,60,27,60,87,157,0,0,328,55.4,67.6
Total Cyber Crimes,Total Cyber Crimes,74229,52974,127,127330,0,178,10,17,895,3254,32203,136,36505,9838,8906,18744,55427,25,16,71868,33.8,56.4
