S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by the Govt during Investigation (Col.7),Cases transferred to other Police Station or Magistrate (Col.8),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11 +Col.12+ Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+ Col.9+ Col.14+ Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7+ Col.16)),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ (Col.6)) * 100
1,A) Offences Under IT Act,Tampering computer source documents,-0.487050962,-0.497448921,-0.492621063,-0.333333333,-0.492944438,0,-0.457717123,-0.50341328,-0.49015478,-0.454358158,-0.465714396,-0.482785739,-0.473894824,-0.502145077,-0.549770023,-0.892153645
2,A) Offences Under IT Act,Computer Related Offences (Section 66 and Section 66B to 66E),1.888543619,1.872471721,1.88157795,-0.333333333,2.350965783,0,2.013657919,2.001374746,1.937914404,2.482168843,2.042325806,1.797386623,1.953072835,1.826000671,-0.65678122,-0.068120106
2.1,A) Offences Under IT Act,Computer Related Offences-Under Section 66,0.946957421,0.642855625,0.793507299,-0.333333333,1.213401694,0,1.018230063,1.043661677,0.247080748,0.232292434,0.912842355,1.148697104,1.010209045,0.649960148,-0.380335628,-0.488377211
2.2,A) Offences Under IT Act,Computer Related Offences-Under Section 66B,-0.475515449,-0.455957729,-0.465904645,-0.333333333,-0.492944438,0,-0.455858247,-0.400274949,-0.49015478,-0.454358158,-0.45894201,-0.459823279,-0.460749127,-0.466825915,-0.201983634,0.335656328
2.3,A) Offences Under IT Act,Computer Related Offences-Under Section 66C,-0.085470937,0.01837802,-0.032920564,-0.333333333,-0.167926127,0,-0.043187875,-0.076125911,-0.193657883,0.173854086,-0.048083939,-0.212976824,-0.113974705,0.019469323,-0.95106201,0.624068067
2.4,A) Offences Under IT Act,Computer Related Offences-Under Section 66D,-0.0887153,0.036662274,-0.025261857,-0.333333333,0.238346761,0,-0.044117313,-0.267668524,0.87212826,1.15269642,0.0918787,-0.284160453,-0.055499018,-0.005633552,-1.401400796,0.27797398
2.5,A) Offences Under IT Act,Computer Related Offences-Under Section 66E,-0.476596904,-0.468967679,-0.473029023,-0.333333333,-0.411689861,0,-0.470729251,-0.311870666,-0.49015478,-0.439748571,-0.465714396,-0.472452632,-0.469361825,-0.472955686,-0.300077231,0.483982365
3,A) Offences Under IT Act,Cyber Terrorism (Section 66F),-0.513005865,-0.520655859,-0.517200168,-0.333333333,-0.411689861,0,-0.501400698,-0.50341328,-0.49816821,-0.454358158,-0.501833787,-0.512636938,-0.506985717,-0.52111818,1.033103928,0.38509834
4,A) Offences Under IT Act,Publication/Transmission of Obscene/Sexually Explicit Content (Sec 67 And Sec 67A to 67C),-0.266794772,-0.188374701,-0.227237978,-0.333333333,-0.411689861,0,-0.29599495,-0.105594005,-0.321872758,-0.279043113,-0.289632365,-0.049943352,-0.196475286,-0.245862232,0.31969595,-0.208205807
4.1,A) Offences Under IT Act,Under Section 67 And Section 67A,-0.274364952,-0.197868448,-0.235787231,-0.333333333,-0.411689861,0,-0.297853825,-0.105594005,-0.329886187,-0.279043113,-0.291889827,-0.06027646,-0.201914885,-0.256370413,0.30631955,-0.249407484
