S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during Investigation (Col.10),Final Report - Cases Ended as FR Non Cognizable (Col.11),Final Report - Cases Ended as Final Report False (Col.12),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report - Cases Abated during Investigation (Col.15),Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percentage (Col.25=Col.23/ Col.7) *100
1,Offences under I.T. Act,Tampering computer source documents,-0.397734889,-0.379831543,-0.403751319,-0.389437991,0,-0.384774069,0,-0.409644015,-0.366223219,-0.345729228,-0.357876129,-0.346112308,-0.358130675,-0.333354914,-0.358665875,-0.350434183,-0.356305004,-0.151609298,-0.364814112,-0.404772577,-0.224170743,-1.708469959
2,Offences under I.T. Act,Computer Related Offences,1.983408695,2.378199838,-0.139967124,2.211807031,0,2.836500294,0,0.81928803,1.88185299,1.838748123,2.331071747,3.31650338,2.276427049,2.052334042,1.479953234,1.702593144,2.052444233,0.991291561,0.975877749,2.28361804,-0.746752609,0.16053872
2.1,Offences under I.T. Act,Computer Related Offences,0.369336542,0.357550514,-0.403751319,0.364009997,0,-0.005800614,0,0,0.546231242,0.443109815,0.599260518,0.131620173,0.579694038,0.931122522,0.43021388,0.621762423,0.596811046,0.705566347,-0.364814112,0.238831316,-0.406820716,-0.572869749
2.1.1,Offences under I.T. Act,Ransomware,-0.374755217,-0.188930639,-0.403751319,-0.272471939,0,-0.384774069,0,-0.409644015,-0.062071732,-0.411925512,-0.266960775,-0.346112308,-0.274348063,-0.256531162,-0.320860136,-0.297691533,-0.285157807,-0.437334512,-0.364814112,-0.264079346,-0.574249857,0.125051214
2.1.2,Offences under I.T. Act,Offences other than Ransom-ware,0.305642886,0.115597027,-0.403751319,0.200390819,0,-0.005800614,0,0,0.189183844,0.41552803,0.428794229,0.131620173,0.41645308,0.746330253,0.304194749,0.472980919,0.439453957,0.705566347,-0.364814112,0.072772718,-0.376379054,-0.750307282
2.2,Offences under I.T. Act,Dishonestly receiving stolen computer resource or communication device,-0.370508974,-0.353212687,-0.403751319,-0.362445825,0,-0.100543978,0,-0.409644015,-0.339775264,-0.389860084,-0.329465081,-0.346112308,-0.337049889,-0.364499679,-0.375048362,-0.372475887,-0.351818244,-0.437334512,-0.364814112,-0.365879016,-0.843151206,-0.430919723
2.3,Offences under I.T. Act,Identity Theft,0.419542128,0.897674926,-0.139967124,0.688471382,0,-0.005800614,0,-0.409644015,0.030496112,0.139710183,0.109959132,-0.027623987,0.108349283,-0.050975717,-0.102847041,-0.083572118,0.030197335,-0.437334512,0.082083175,1.032429074,-0.939549803,1.231078501
2.4,Offences under I.T. Act,Cheating by personation by using computer resource,0.181502704,0.106260562,-0.403751319,0.139963912,0,1.510093204,0,0.409644015,0.202407822,0.283135464,0.565798617,2.520282578,0.538072999,0.102671788,0.100043758,0.101420758,0.365422415,-0.151609298,0.082083175,0.020350961,-1.127273386,-0.779880204
2.5,Offences under I.T. Act,Violation of Privacy,-0.370259195,-0.353609983,-0.403751319,-0.362556904,0,-0.100543978,0,-0.409644015,-0.233983442,-0.395376441,-0.364189695,-0.346112308,-0.362995471,-0.331278597,-0.359926067,-0.350434183,-0.358227901,-0.437334512,0.082083175,-0.362666069,-0.17343464,-0.25348219
3,Offences under I.T. Act,Cyber Terrorism,-0.433703071,-0.426712515,-0.403751319,-0.431647962,0,-0.384774069,0,-0.409644015,-0.41911913,-0.439507296,-0.431113498,-0.346112308,-0.432183692,-0.435094478,-0.444358884,-0.442537019,-0.437707653,-0.437334512,-0.364814112,-0.425910382,-0.838077596,-0.123361332
4,Offences under I.T. Act,Publication/transmission of obscene / sexually explicit act in electronic form,-0.010577378,0.180157686,0.123817071,0.096087758,0,-0.005800614,0,0.409644015,0.982622506,0.079030257,0.043035329,-0.186868147,0.084025299,0.13589287,0.660828888,0.464321677,0.238831682,0.419841132,-0.364814112,0.020012756,0.232454189,-0.531467658
4.1,Offences under I.T. Act,Publishing or transmitting obscene material in Electronic Form,-0.250864814,-0.16588745,-0.403751319,-0.204491669,0,-0.195287341,0,0,0.149511911,-0.268500231,-0.192460693,-0.346112308,-0.187322254,-0.10080734,-0.003291928,-0.040275913,-0.128121202,-0.151609298,-0.364814112,-0.24361795,0.141129202,-0.691161437
4.2,Offences under I.T. Act,Publishing or transmitting of material containing Sexually explicit act in electronic form,-0.297823273,-0.212967069,0.123817071,-0.251478032,0,-0.195287341,0,0,0.017272134,-0.229885732,-0.334515934,-0.266490227,-0.31002324,-0.283523291,0.011830367,-0.100103397,-0.225227511,0.134115917,-0.364814112,-0.264079346,0.765183276,-0.324457203
4.3,Offences under I.T. Act,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,-0.421713677,-0.414594975,-0.403751319,-0.419540365,0,-0.384774069,0,-0.409644015,-0.41911913,-0.389860084,-0.420380435,-0.346112308,-0.418129835,-0.435094478,-0.402772571,-0.416559296,-0.418799163,-0.437334512,-0.364814112,-0.41745526,0.080245878,-0.844940632
