S. No. (Col.1),Crime Head,Cases Pending Investi-gation from Previous Year,Cases Reported during the year,Cases Reopened for Investi-gation,Total Cases for Investi-gation (Col.3+ Col.4+ Col.5),Cases Not Investi-gated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investi-gation,Final Report -  Cases Ended as FR Non Cognizable,Final Report -  Cases Ended as Final Report False,Final Report -  Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report -  Cases True but Insufficient Evidence or Untraced or No Clue,Final Report -  Cases Abated during Investigation,Final Report -  Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted -  Cases Chargesheeted Out of Cases from Previous Year,Chargesheets submitted -  Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted -  Cases Chargesheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),Charge-Sheeting Rate (Col.18/ Col.19) *100,Pen- dency Percent age (Col.22/ Col.6) *100
1,Tampering computer source documents,-0.401508476,-0.402115835,-0.400195067,-0.402409483,0,-0.339168324,-0.255376959,-0.368988731,-0.364795718,-0.418944902,-0.392427567,-0.355417098,-0.395942527,-0.423163634,-0.415435431,-0.420679113,-0.406873497,-0.347602198,0.738271661,-0.396980743,-1.01580548,-0.262987066
2,Computer Related Offences,2.261903586,2.419712045,0.481133396,2.35718239,0,3.245375333,-0.255376959,2.9561511,0.609308607,1.518902847,2.24734764,2.537882473,2.042558416,2.210118624,1.531039679,1.812863197,1.97205361,1.468045832,2.930714774,2.501816574,-0.762898672,0.546227875
2.1,Computer Related Offences,0.208867498,0.114840047,-0.400195067,0.153671001,0,-0.273994803,-0.255376959,2.9561511,-0.153798392,0.165878715,0.730770903,-0.355417098,0.595827239,0.910871375,0.278357678,0.534984072,0.568825255,-0.088223908,0.738271661,-0.024796429,-0.706697159,-0.792284889
2.1.1,Ransom-ware,-0.25928162,-0.299784093,-0.400195067,-0.283492068,0,-0.339168324,-0.255376959,2.124866142,-0.287430032,-0.423901034,-0.02492945,-0.355417098,-0.083156557,-0.042010774,-0.302846198,-0.199155654,-0.130084528,-0.347602198,-0.357949896,-0.346438435,-0.979675936,-1.453907167
2.1.2,Offences other than Ransom-ware,0.03836663,-0.008319214,-0.400195067,0.010828534,0,-0.273994803,-0.255376959,0.462296227,-0.241713944,0.141098054,0.320923452,-0.355417098,0.244999731,0.511568379,0.135338923,0.2878298,0.258878049,-0.174683338,0.738271661,-0.095033156,-0.586265345,-0.578529999
2.2,Dishonestly receiving stolen computer resource or communication device,-0.361924857,-0.355765576,-0.400195067,-0.358806431,0,-0.306581563,-0.255376959,-0.368988731,-0.319079631,-0.250436402,-0.336902883,-0.355417098,-0.332539966,-0.343000533,-0.338347307,-0.3419559,-0.337499881,-0.174683338,-0.357949896,-0.364927072,-0.638452464,-0.466563152
2.3,Identity Theft,1.049719521,1.052439583,-0.400195067,1.052276111,0,2.626226883,-0.255376959,-0.368988731,0.109948267,0.131185789,0.333628252,-0.188495969,0.292647717,-0.069235979,-0.124326334,-0.102734976,0.15846268,-0.001764478,-0.357949896,1.426059214,-1.324913801,1.253654773
2.4,Cheating by personation by using computer resource,0.010949405,0.241611016,0.26080128,0.146663367,0,0.149633084,-0.255376959,-0.368988731,-0.188964613,0.071712201,0.143526793,2.370961344,0.11781035,0.160665746,0.307772883,0.249993837,0.169515426,0.257613812,0.738271661,0.135471924,-0.445761563,0.240863746
2.5,Violation of Privacy,-0.364837937,-0.325186443,-0.179862952,-0.341959797,0,-0.306581563,-0.255376959,-0.368988731,-0.340179364,-0.39416424,-0.362783032,-0.355417098,-0.367123181,-0.214437068,-0.375877052,-0.312663542,-0.347376802,-0.261142768,0.738271661,-0.336691707,0.019908116,0.184880323
3,Cyber Terrorism,-0.425841263,-0.421498671,-0.400195067,-0.423857089,0,-0.339168324,-0.255376959,-0.368988731,-0.36831234,-0.443725564,-0.433365257,-0.355417098,-0.431678517,-0.44131377,-0.442822001,-0.444479154,-0.43791525,-0.434061628,-0.357949896,-0.414062636,-0.875301698,0.566585484
4,Publication/transmission of obscene / sexually explicit act in electronic form,0.021230864,0.081130767,0.040469164,0.056484328,0,-0.143647761,-0.255376959,-0.161167492,0.440510746,0.289782024,-0.095041126,-0.077215216,-0.007841999,0.251416427,0.706399625,0.526440467,0.197029707,0.171154382,-0.357949896,-0.004197675,0.148368717,-0.151020219
