S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year (Col. 4),Cases Reopened for Investigation (Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19),Cases Quashed at  Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols. 6-9-19-20) - (Col. 22),Chargesheeting Rate (Col.18/ 19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
1,Tampering computer source documents,-0.397108593,-0.403533117,-0.301916556,-0.402800523,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.418727512,-0.422489732,-0.403961605,-0.36348753,-0.407294963,-0.396623775,-0.40760087,-0.407517072,-0.409336187,-0.412143347,-0.414741098,-0.398924123,-0.768760788,-0.118376926
2,Computer Related Offences,2.497619421,2.011692659,3.354796757,2.301916334,2.936025421,2.648637042,2.894681074,1.673909972,1.628567222,1.415997889,2.235882847,2.321968013,2.15244054,1.914777109,2.151135802,2.090292588,2.137985509,0.249988587,1.930141262,2.359004061,-0.633310189,0.371569663
2.1,Computer Related Offences,-0.026797988,0.068480852,-0.274073561,0.015041562,2.936025421,-0.203741311,-0.339441429,0.935531079,-0.03430099,-0.212249055,0.488149208,-0.323995537,0.408640779,0.456227455,0.033601034,0.176968032,0.305341,-0.08107738,0.366886356,-0.098762391,-0.983613463,-1.339091308
2.1.1,Ransom-ware,-0.346766368,-0.360012511,-0.301916556,-0.355770221,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.427667664,-0.31513279,-0.220701709,-0.36348753,-0.239759009,-0.293353354,-0.366586085,-0.34506201,-0.291842212,-0.412143347,-0.414741098,-0.379660449,-1.441343073,-2.08646746
2.1.2,Offences other than Ransom-ware,-0.096756667,-0.012854573,-0.274073561,-0.060143651,2.936025421,-0.203741311,-0.339441429,0.935531079,-0.052181293,-0.33749882,0.267581369,-0.323995537,0.206171797,0.30538302,-0.027921144,0.084660237,0.155344717,-0.08107738,0.366886356,-0.144394592,-0.866845705,-1.189616077
2.2,Dishonestly receiving stolen computer resource or communication device,-0.365181814,-0.409127025,-0.301916556,-0.388617618,-0.346614112,-0.382014958,-0.339441429,-0.356631982,-0.275685085,-0.431436143,-0.388792441,-0.323995537,-0.388402611,-0.388501382,-0.387679403,-0.391412307,-0.391777469,-0.412143347,-0.414741098,-0.386106089,-0.768760788,-0.184810361
2.3,Identity Theft,1.424819588,0.134600846,3.275908272,0.851252976,-0.346614112,1.460146061,0.122576072,-0.356631982,0.323305077,0.208232299,-0.088688988,-0.24501155,-0.051904865,-0.120462424,1.029088464,0.649112585,0.285167154,-0.08107738,1.148513809,1.070755026,0.511013836,1.260116866
2.4,Cheating by personation by using computer resource,0.133536496,0.810680583,-0.250871065,0.449544605,-0.346614112,0.568777826,2.432663574,0.197152187,0.189202802,0.503463887,0.857128864,2.124508047,0.813222286,0.035023378,0.141411326,0.106656988,0.477752669,-0.412143347,-0.414741098,0.436884936,-1.497391596,0.139052638
2.5,Violation of Privacy,-0.33565705,-0.358334339,-0.301916556,-0.349126927,-0.346614112,-0.322590409,-0.339441429,-0.418163556,-0.35614645,-0.41354332,-0.396991989,-0.36348753,-0.398027017,0.155698926,-0.377718669,-0.200511931,-0.305851827,-0.412143347,-0.414741098,-0.364938022,1.057486942,-1.30587459
3,Cyber Terrorism,-0.414122865,-0.438439103,-0.297276056,-0.428161033,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.431436143,-0.438809684,-0.36348753,-0.439376316,-0.441877105,-0.426936411,-0.435798609,-0.439596957,-0.412143347,-0.414741098,-0.422289568,-1.25451466,0.712041021
