S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year Col. (4),Cases Reopened for Investigation Col. (5),Total Cases for Investigation (Col.3+ Col.4+Col.5) - Col. (6),Cases Not Investigated Under 157_1_b CRPC - Col. (7),Cases Transferred to Other State or Agency - Col. (8),Cases Withdrawn by the Govt during Investigation - Col. (9),Final Report - Cases Ended as FR Non Cognizable - Col. (10),Final Report - Cases Ended as Final Report False - Col. (11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13),Final Report - Cases Abated during Investigation - Col. (14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18),Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19),Cases Quashed at Investigation Stage - Col. (20),Cases Stayed at Investigation Stage - Col. (21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22),Chargesheeting Rate (Col.18/19*100) - Col. (23),Pendency Percentage (Col.22/6*100) - Col. (24)
1,Tampering computer source documents,-0.398871922,-0.438026939,-0.36242922,-0.417770384,0,-0.447457244,-0.334777854,-0.401128588,-0.424378442,-0.426079242,-0.411876916,-0.338071409,-0.418460427,-0.376396738,-0.427932548,-0.40446727,-0.415063785,-0.41964541,-0.413096192,-0.415274892,0.193017594,0.954354687
2,Computer Related Offences,2.357544153,1.687923342,0.468658474,2.099400305,0,1.884343577,3.356147991,1.183976316,1.19010476,0.481881673,2.64570509,3.080699502,2.465908429,2.917952479,1.855531827,2.477885849,2.475994247,0.951196262,2.285798931,1.768460623,-0.376352032,-1.025447442
2.1,Computer Related Offences,-0.099010146,-0.041953624,0.074985356,-0.076251526,0,0.232651329,-0.334777854,-0.401128588,-0.062734204,-0.31997653,-0.017202656,-0.338071409,-0.045775959,-0.007237021,0.05299506,0.019765399,-0.022636109,0.265775426,0.261627589,-0.11921933,-0.245607895,-0.934769482
2.1.1,Ransom-ware,-0.379773844,-0.374548161,-0.231204847,-0.38028554,0,0.232651329,-0.334777854,-0.401128588,-0.44375224,-0.403467189,-0.320232768,-0.338071409,-0.334448255,-0.350816377,-0.333756123,-0.347695788,-0.338339143,-0.191171798,-0.413096192,-0.410299832,-0.637840304,-2.453625313
2.1.2,Offences other than Ransom-ware,-0.144596746,-0.111319977,-0.099980474,-0.132019526,0,-0.447457244,-0.334777854,-0.401128588,-0.062734204,-0.344327972,-0.117341448,-0.338071409,-0.138027503,-0.051375683,-0.049971164,-0.051410788,-0.109713256,0.037301814,0.261627589,-0.148753814,-0.135951523,-0.662735601
2.2,Dishonestly receiving stolen computer resource or communication device,-0.386213042,-0.412335697,-0.406170678,-0.399749665,0,-0.447457244,-0.334777854,-0.401128588,-0.39854671,-0.403467189,-0.38769985,-0.338071409,-0.394183705,-0.37037783,-0.404074521,-0.390345011,-0.394262022,0.037301814,-0.413096192,-0.399875896,-0.49444351,-0.058215867
2.3,Identity Theft,1.069338552,-0.008126821,-0.274946305,0.635610591,0,0.426968064,1.305633632,0.549934354,-0.069192137,-0.126904382,0.949226534,-0.182672731,0.842016414,1.337989015,-0.033019408,0.738588396,0.80798312,-0.41964541,0.936351369,0.487974912,-0.46492064,-1.040560435
2.4,Cheating by personation by using computer resource,0.436979972,0.778774514,-0.18746339,0.579230236,0,0.265037452,1.715736504,0.232913374,0.350573495,0.022683049,0.812332068,2.894221088,0.755355872,0.685439025,0.883003282,0.783214735,0.76579908,-0.191171798,0.261627589,0.420456239,-0.359481821,-1.123681899
2.5,Violation of Privacy,-0.364992956,-0.40409309,-0.36242922,-0.38365349,0,-0.382684999,-0.334777854,-0.401128588,-0.405004643,-0.4017278,-0.392437248,-0.306991674,-0.398303391,-0.307680867,-0.390261978,-0.348825568,-0.382554983,-0.41964541,-0.413096192,-0.380212563,0.543074475,0.092914066
3,Cyber Terrorism,-0.422360362,-0.442308812,-0.406170678,-0.433604122,0,-0.447457244,-0.334777854,-0.401128588,-0.44375224,-0.426079242,-0.419391409,-0.338071409,-0.425669878,-0.392948737,-0.435466662,-0.417177303,-0.424158509,-0.41964541,-0.413096192,-0.436438639,0.129754303,1.135710608
4,Publication/transmission of obscene / sexually explicit act in electronic form,0.040310698,0.262380548,-0.099980474,0.131205434,0,0.265037452,0.075325017,1.500997296,0.905955717,0.521887613,-0.108846803,-0.027274054,-0.032681242,0.074519819,0.74048296,0.375081442,0.107786107,0.494249038,0.261627589,0.148723193,0.332196836,-0.322693251
